Project,工作內容,工作說明,請求協助,夥伴,交付日期,状态,最新更新日期,開始日期,專案進度,PM,專案名稱,Status,Priority,Assignee,Due,Parent-task,Sub-tasks,Summary,Multi-select,夥伴 1,夥伴 2,項目編號,Figma 文件,文本
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),App無法登入問題,,,,2024/05/03,未开始,,,,,24101跳蛙,Done,,,,,,No content,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),AI 地方能量爬搜整理,啟銘新案,,"Echo, Sunny",2024/05/03,未开始,,,,,24117 AI,Not started,,,,,,No content,,,,,,
中華電信_花蓮號誌EEP (https://www.notion.so/_-EEP-76f2e91739bf4333bc204709883037c4?pvs=21),統整確認待處理項目17項,,,Jason,2024/05/02,未开始,,,,,24110號誌EEP,Not started,,,,,,統整確認待處理項目17項，狀態為未開始，夥伴為Jason，專案名稱為24110號誌EEP。,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),更新實習同學爬蟲程式到正式環境,,,姿樺,2024/05/03,未开始,,,,,24105爬蟲2,In progress,,,,,,正在進行將實習同學的爬蟲程式更新到正式環境的工作，專案名稱為24105爬蟲2，與夥伴姿樺合作。,,,,,,
24119  生活服務(iii) (https://www.notion.so/24119-iii-6985b57fe1694a9cb423b9712664a78a?pvs=21),wordpress II,,,Ing,2024/05/02,未开始,,,,,,Not started,,,,,,No content,,,,,,
24109 原民會 (https://www.notion.so/24109-ad8af80db7bc41e899eef0bc46de6e6d?pvs=21),世新 梁副校長提案合作,擴大原民會平台,,Sunny,2024/05/03,未开始,,,,,24109原民會,Not started,,,,,,世新梁副校長提案合作的專案名稱為24109原民會，目標是擴大原民會平台。,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),AI客服後台,,,Ing,2024/05/02,未开始,,,,,24117 AI,Not started,,,,,,No content,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),14:00 與實習同學會議,,,姿樺,2024/05/03,未开始,,,,,24105爬蟲2,Done,,,,,,"Meeting with intern colleague, 姿樺, for project 24105爬蟲2, scheduled at 14:00, has been completed.",,,,,,
24122 花蓮獎項輔導案_建順 (https://www.notion.so/24122-_-c5c4612da15a4750b4003bf8898640fa?pvs=21),「地方稅務局」欲提報獎項的資料、申請的中央計畫提供 找尋,,,,2024/05/03,未开始,,,,,24122 花蓮獎項輔導案_建順,In progress,,,,,,"""地方稅務局""正在進行中的專案名稱為「24122 花蓮獎項輔導案_建順」，需要提供申請獎項的資料和中央計畫。",,,,,,
24115  (B)Project Room 360 (https://www.notion.so/24115-B-Project-Room-360-f88900ea33c147688db21d8beff64224?pvs=21),project360框架圖,,,,2024/05/03,未开始,,,,,24115 (B)Project Room 360,Done,,,,,,No content,,,,,,
24119  生活服務(iii) (https://www.notion.so/24119-iii-6985b57fe1694a9cb423b9712664a78a?pvs=21),生活服務業網站版型進度,"有兩個,連結請開open",,Ing,2024/05/03,未开始,,,,,,In progress,,,,,,生活服務業網站版型進度正在進行中，有兩個工作說明，請點擊連結查看詳細資訊：http://ing-test.justhings.com.tw/ 和 http://llife-s1.justhings.com.tw/,,,,,,
,Task,,,,,未开始,,,,,,Not started,,,,,,No content,,,,,,
,Task,,,,,未开始,,,,,,Not started,,,,,,Task is not started.,,,,,,
傳陽 (https://www.notion.so/efdc4135450f4fdb9580608eb60438a2?pvs=21),台中科大講座,,,"Sunny, 姿樺",2024/05/17,未开始,,,,,24309喬_其他,Not started,,,,,,尚未開始的台中科大講座，專案名稱為24309喬_其他，夥伴包括Sunny和姿樺。,,,,,,
,金環球正式端測試,"請大家協助測試,我點完ATM就當在那裡不動了",,Echo,2024/05/07,未开始,,,,,24103金環球,Not started,,,,,,請夥伴協助測試金環球小三通的單程機票預訂，提供相關資料並提供訂單編號或截圖。謝謝大家的協助。,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),爬蟲2報價單,,,Echo,2024/05/06,未开始,,,,,24105爬蟲2,Done,,,,,,爬蟲2報價單已完成，夥伴為Echo和明婷，專案名稱為24105爬蟲2。,,,,,,
長汎 (https://www.notion.so/39d7adf5b79646dfa274bc51357c0825?pvs=21),客服機器人問題追蹤,,,Echo,2024/05/06,未开始,,,,,24104長汎,In progress,,,,,,問題追蹤專案名稱為24104長汎，由Echo負責，目前處於進行中的狀態。,,,,0,,
24126 資策會運動競賽 (https://www.notion.so/24126-83f12a9925e3449cb625050c6a2d5ba7?pvs=21),花蓮報獎計劃SOP,,,"Echo, Sunny",2024/05/06,未开始,,,,,24126 資策會運動競賽,Not started,,,,,,花蓮報獎計劃SOP專案名稱為24126資策會運動競賽，尚未開始。夥伴包括Echo和Sunny。請使用公司帳號登入Google雲端硬碟，連結為https://drive.google.com/drive/folders/1Qs5pV57uOa6_M_6b374jkmwCwT1PMv97。,,,,,,
,PDF讀取內容分割取向量,,,Miles,2024/05/05,未开始,,,,,24123 松下AI,Done,,,,,,No content,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),app登入後其他問題處理,,,VC,2024/05/06,未开始,,,,,24101跳蛙,In progress,,,,,,No content,,,,,,
中華電信_花蓮號誌EEP (https://www.notion.so/_-EEP-76f2e91739bf4333bc204709883037c4?pvs=21),待處理_8.部分路口無法刪除,,,Jason,2024/05/03,未开始,,,,,24110號誌EEP,In progress,,,,,,待處理_8.部分路口無法刪除 - 專案名稱: 24110號誌EEP,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),開立高球 AI 群,後續業務拜訪,,"Echo, Sunny",2024/05/06,未开始,,,,,24111高球協進會,Not started,,,,,,開立高球 AI 群專案名稱為24111高球協進會，工作說明為後續業務拜訪，尚未開始。,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),爬蟲2計畫書修改,,,Sam,2024/05/07,未开始,,,,,24105爬蟲2,Done,,,,,,没有内容,,,,,,
24109 原民會 (https://www.notion.so/24109-ad8af80db7bc41e899eef0bc46de6e6d?pvs=21),聯繫梁副,談案子,,Sunny,2024/05/06,未开始,,,,,24109原民會,Not started,,,,,,聯繫梁副，專案名稱為24109原民會，工作說明為談案子。,,,,,,
24122 花蓮獎項輔導案_建順 (https://www.notion.so/24122-_-c5c4612da15a4750b4003bf8898640fa?pvs=21),報獎內容提供,,,,2024/05/07,未开始,,,,,24122 花蓮獎項輔導案_建順,Not started,,,,,,没有内容,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),確認最後規格,,,"Sunny, VC, 姿樺",2024/05/06,未开始,,,,,24105爬蟲2,Not started,,,,,,專案名稱為24105爬蟲2，狀態為未開始，夥伴包括Sunny、VC、姿樺和明婷。,,,,,,
24102 參聯 (https://www.notion.so/24102-0131d06092f044708b90bcdd2e774439?pvs=21),欄位處理,,,姿樺,2024/05/06,未开始,,,,,24102參聯,In progress,,,,,,正在進行欄位處理的專案名稱為24102參聯，由夥伴姿樺負責。目前尚無描述。,,,,,,
,LLM技術分享簡報,,,Sam,2024/05/06,未开始,,,,,24123 松下AI,In progress,,,,,,No content,,,,,,
,LLM訓練及架構教學計畫整理,,,Sam,2024/05/06,未开始,,,,,24123 松下AI,In progress,,,,,,No content,,,,,,
24119  生活服務(iii) (https://www.notion.so/24119-iii-6985b57fe1694a9cb423b9712664a78a?pvs=21),wordpressIII,,,Ing,2024/05/03,未开始,,,,,,Not started,,,,,,No content,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),Just AI 後台,,,Ing,2024/05/03,未开始,,,,,24117 AI,Not started,,,,,,No content,,,,,,
,工作報告,,,Sam,2024/05/06,未开始,,,,,24123 松下AI,In progress,,,,,,No content,,,,,,
24119  生活服務(iii) (https://www.notion.so/24119-iii-6985b57fe1694a9cb423b9712664a78a?pvs=21),wordpress II 重製,,,Ing,2024/05/03,未开始,,,,,,Not started,,,,,,No content,,,,,,
24119  生活服務(iii) (https://www.notion.so/24119-iii-6985b57fe1694a9cb423b9712664a78a?pvs=21),wordpress III,,,Ing,2024/05/06,未开始,,,,,,Done,,,,,,No content,,,,,,
24122 花蓮獎項輔導案_建順 (https://www.notion.so/24122-_-c5c4612da15a4750b4003bf8898640fa?pvs=21),花蓮簡報,,,Sam,2024/05/06,未开始,,,,,24122 花蓮獎項輔導案_建順,In progress,,,,,,没有内容,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),更新實習同學爬蟲程式到正式環境,,,姿樺,2024/05/06,未开始,,,,,24105爬蟲2,In progress,,,,,,正在進行將更新實習同學的爬蟲程式部署到正式環境的專案，夥伴是姿樺，專案名稱是24105爬蟲2。,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),Just AI 非功能性需求 調整,直接修改.82,,Ing,2024/05/06,未开始,,,,,24117 AI,Done,,,,,,No content,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),Just AI 後台介面優化,http://i-test.justhings.com.tw/J-ai-service/index.html,,Ing,2024/05/06,未开始,,,,,24117 AI,In progress,,,,,,No content,,,,,,
24119  生活服務(iii) (https://www.notion.so/24119-iii-6985b57fe1694a9cb423b9712664a78a?pvs=21),招標簡報會議,,,VC,2024/05/06,未开始,,,,,,Done,,,,,,招標簡報會議已完成，處理日期為2024/05/06。,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),app問題處理,,,VC,2024/05/07,未开始,,,,,24101跳蛙,In progress,,,,,,No content,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),跳蛙 APP測試-問題回報,,,Echo,2024/05/07,未开始,,,,,24101跳蛙,Not started,,,,,,問題回報：專案名稱為24101跳蛙的跳蛙APP測試尚未開始，由夥伴Echo負責。問題描述尚未提供。,,,,,,
,首頁頁籤改成與產品內頁的頁籤一樣,請問誰改?需求已放notion\金環球\Tasks\G_金環球需求,,Echo,2024/05/07,未开始,,,,,24103金環球,Done,,,,,,專案名稱為24103金環球，工作說明是將首頁頁籤改成與產品內頁的頁籤相同。需求已放在notion的金環球任務中，請問由誰負責改動。狀態為完成。,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),Just AI 功能需求,,,"Echo, Ing, Miles",2024/05/07,未开始,,,,,24116公版AI智能客服開發,Not started,,,,,,Just AI功能需求包括限制提问次数、限制时间、限制回复token字数等前台功能性需求，以及客服選單維護和非功能性需求如問題放置位置、字型大小調整功能和功能選單icon改變等。,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),處理爬蟲程式,,,姿樺,2024/05/08,未开始,,,,,24105爬蟲2,In progress,,,,,,正在進行中的專案名稱為24105爬蟲2，夥伴是姿樺。目前沒有提供描述。,,,,,,
中華電信_花蓮號誌EEP (https://www.notion.so/_-EEP-76f2e91739bf4333bc204709883037c4?pvs=21),8.路口無法刪除,,,Jason,2024/05/06,未开始,,,,,24110號誌EEP,Done,,,,,,"Status: Done
Partner: Jason
Project Name: 24110 Signal EEP
Date: 2024/05/06
Description: No content",,,,,,
中華電信_花蓮號誌EEP (https://www.notion.so/_-EEP-76f2e91739bf4333bc204709883037c4?pvs=21),1.前台案件未標完工日期、3.定位找尋路口功能時常當機無法使用,,,Jason,2024/05/06,未开始,,,,,24110號誌EEP,In progress,,,,,,"In progress project 24110號誌EEP, with issues of missing completion date and frequent crashes when using the location search function.",,,,,,
,說明會 &業者合作提案 和軟體院長官合作討論,下午討論,,Sunny,2024/05/07,未开始,,,,,,Not started,,,,,,No content,,,,,,
中華電信_花蓮號誌EEP (https://www.notion.so/_-EEP-76f2e91739bf4333bc204709883037c4?pvs=21),10.改善特殊時相路口時制長條圖,,,"Jason, VC",2024/05/07,未开始,,,,,24110號誌EEP,Not started,,,,,,No content,,,,,,
裕新車貸 (https://www.notion.so/f51cbef29986426284475e26b392cf58?pvs=21),1. 車主信封調整左邊界。2. 刪除舊訂單異常資料。,,,,2024/05/06,未开始,,,,,24207裕新車貸,Done,,,,,,車主信封調整左邊界完成，刪除舊訂單異常資料。專案名稱為24207裕新車貸。,,,,,,
迪恩士 (https://www.notion.so/fd89bb0c3d6443c48c711c427597d41a?pvs=21),CSP header 增加”base-uri”,,,,2024/05/06,未开始,,,,,24208迪恩士,Done,,,,,,No content,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),已登入再進入登入頁，要導回首頁,,,,2024/05/07,未开始,,,,,24101跳蛙,Done,,,,,,已登入再進入登入頁，要導回首頁。專案名稱為24101跳蛙，由夥伴Max負責。,,,,,,
24126 資策會運動競賽 (https://www.notion.so/24126-83f12a9925e3449cb625050c6a2d5ba7?pvs=21),資策會運動競賽,說明會,,Sunny,2024/05/07,未开始,,,,,24126 資策會運動競賽,Done,,,,,,資策會運動競賽的專案名稱為24126，工作說明是說明會。詳細描述未提供。,,,,,,
,Semantic Kernel 研究,,,Miles,2024/05/07,未开始,,,,,24123 松下AI,In progress,,,,,,没有内容,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),紘康報價單-其他,"內部主管共識工作坊
IT工具健診
ChatGPT教育訓練課程
鼎新ERP程式客製時數報價",,"Echo, Sunny",2024/05/08,未开始,,,,,24128 紘康官網,Not started,,,,,,紘康報價單-其他專案包括內部主管共識工作坊、IT工具健診、ChatGPT教育訓練課程和鼎新ERP程式客製時數報價。每個專案都有相應的報價方式和負責人。,,,,,,
24122 花蓮獎項輔導案_建順 (https://www.notion.so/24122-_-c5c4612da15a4750b4003bf8898640fa?pvs=21),報獎2-成果報告書,5/8中午前提供初版給建順,,Echo,2024/05/07,未开始,,,,,24122 花蓮獎項輔導案_建順,Done,,,,,,專案名稱為24122花蓮獎項輔導案_建順的報獎2成果報告書正在進行中，預計在2024年5月7日之前提供初版給建順。詳細內容請參考https://docs.google.com/document/d/1ckrhV1Wuw43cQkFKFtjQu_JN6R5U96Zg/edit?usp=drive_link&ouid=109384102981906647530&rtpof=true&sd=true。,,,,,,
24106 樹德顧問 (https://www.notion.so/24106-ff3a9fda3bf547f3a6687c5f56ddec97?pvs=21),AI課表-課程安排在5/27,,,"Echo, Sunny",2024/05/07,未开始,,,,,24106樹德顧問,Done,,,,,,No content,,,,,,
,需求訪談,,,"Sam, VC",2024/05/07,未开始,,,,,24123 松下AI,Done,,,,,,需求訪談已完成，專案名稱為24123 松下AI。,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),ios上架圖檔問題處理,,,VC,2024/05/08,未开始,,,,,24101跳蛙,In progress,,,,,,No content,,,,,,
中華電信_花蓮號誌EEP (https://www.notion.so/_-EEP-76f2e91739bf4333bc204709883037c4?pvs=21),號誌長條圖修改,,,VC,2024/05/08,未开始,,,,,24110號誌EEP,In progress,,,,,,號誌長條圖修改專案（24110號誌EEP）正在進行中。,,,,,,
24119  生活服務(iii) (https://www.notion.so/24119-iii-6985b57fe1694a9cb423b9712664a78a?pvs=21),後台規劃,,,,2024/05/07,未开始,,,,,,In progress,,,,,,後台規劃正在進行中，夥伴是Max，處理日期是2024/05/07。,,,,,,
,首頁頁籤調整,需求已放至金環球\Tasks裡,,"Echo, Ing, Miles",2024/05/08,未开始,,,,,24103金環球,Done,,,,,,調整首頁頁籤已完成，專案名稱為24103金環球，工作說明已放至金環球\Tasks裡。,,,,,,
官網優化 (https://www.notion.so/ce8d9eaa7b974c30982bb908d98631fa?pvs=21),公司官網修正完成,,,Ing,2024/05/07,未开始,,,,,24120 公司官網改版,Done,,,,,,公司官網修正完成，專案名稱為24120 公司官網改版，由夥伴Ing完成。,,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),Just AI後台介面優化,,,Ing,2024/05/07,未开始,,,,,24117 AI,Done,,,,,,No content,,,,,,
24115  (B)Project Room 360 (https://www.notion.so/24115-B-Project-Room-360-f88900ea33c147688db21d8beff64224?pvs=21),(小)請款發公文,"請惠真協助開立149,000*30%(含稅的發票)",,"Echo, Jean",2024/05/08,未开始,,,,,24115 (B)Project Room 360,Done,,,,,,"Please assist in issuing an invoice for 30% of 149,000 (including tax) for project 24115 (B) Project Room 360. Partners: Echo, Jean. Status: Done.",,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),處理thenextweb、sixteen-nine爬蟲程式,,,姿樺,2024/05/07,未开始,,,,,24105爬蟲2,Done,,,,,,No content,,,,,,
中華電信_花蓮號誌EEP (https://www.notion.so/_-EEP-76f2e91739bf4333bc204709883037c4?pvs=21),4.案件有些工項無法刪除,,,Jason,2024/05/08,未开始,,,,,24110號誌EEP,In progress,,,,,,Unable to delete some items in project 24110 due to an ongoing issue. Partner: Jason. Status: In progress.,,,,,,
派工1999維護 (https://www.notion.so/1999-ed0a1bbc637b4e83945ea40e71b9475a?pvs=21),派工兩項問題處理,,,"Sam, VC",2024/05/08,未开始,,,,,24201派工1999維護,In progress,,,,,,專案名稱為24201派工1999維護，目前處於進行中的狀態。夥伴包括Sam和VC。描述內容缺失。,,,,,,
24122 花蓮獎項輔導案_建順 (https://www.notion.so/24122-_-c5c4612da15a4750b4003bf8898640fa?pvs=21),報獎1申請書初版,,,Echo,2024/05/08,未开始,,,,,24122 花蓮獎項輔導案_建順,Done,,,,,,報獎1申請書初版，專案名稱為24122花蓮獎項輔導案_建順，目前狀態為完成。,,,,,,
24126 資策會運動競賽 (https://www.notion.so/24126-83f12a9925e3449cb625050c6a2d5ba7?pvs=21),運動競賽報名+計劃書初版,,,Echo,2024/05/08,未开始,,,,,24126 資策會運動競賽,Not started,,,,,,專案名稱為「24126 資策會運動競賽」，尚未開始進行。夥伴包括Echo和明婷。描述內容為空。,,,,,,
,金環球RWD問題處理,5/9 下午三點meeting,,"Echo, Ing",2024/05/09,未开始,,,,,24103金環球,Not started,,,,,,No content,,,,,,
iii地方創生 (https://www.notion.so/iii-c344d1951de74fbd9d9806f9daa4bda8?pvs=21),iii輿情分析系統報價單,,,"Echo, Sunny",2024/05/08,未开始,,,,,24125輿情分析系統,Not started,,,,,,No content,,,,,,
24102 參聯 (https://www.notion.so/24102-0131d06092f044708b90bcdd2e774439?pvs=21),Task,,,,2024/04/01,未开始,,,,,,Not started,,,,,,Task status: Not started. Processing date: 2024/04/01.,,,,,,
24115  (B)Project Room 360 (https://www.notion.so/24115-B-Project-Room-360-f88900ea33c147688db21d8beff64224?pvs=21),小project room360操作手冊,教育訓練方式為何???,,"Echo, Sunny",2024/05/09,未开始,,,,,24115 (B)Project Room 360,Not started,,,,,,專案名稱為24115 (B)Project Room 360，工作說明尚未開始，教育訓練方式尚未提供詳細說明。,,,,,,
